230,0100001110
231,0101100111
110,0011010
111,0010111
232,0110111001
112,0011101
233,000101010
113,0001011
234,1100100011
235,001011011
114,0010000
115,0000110
236,1110111110
237,1111111111
116,0001100
117,0001001
238,000011101
239,000011110
118,0000000
119,11100110
10,01100010
11,00010100
12,00111000
13,00110111
14,111101110
15,110111000
16,110100111
17,110010000
18,111001111
19,001110010
240,001010111
120,11111110
241,001001110
0,10
121,11110110
242,011010111
1,1100110
122,0010010
243,001011001
2,000001
123,0010100
244,011001000
3,0111011
124,0000100
245,1101110011
4,0001111
125,0001110
246,1111011111
5,0001000
126,11100001
247,1110111001
6,11110010
127,11110000
248,0111001110
7,11011010
128,11011110
249,0100110101
8,11001001
129,11101001
9,11000010
20,110111010
21,011011101
22,011011110
23,001101101
24,010111001
25,010000100
26,110000111
27,011110010
28,010001100
29,011001011
250,11100000000
130,11000100
251,0010001010
131,11010110
252,11000111001
132,01100110
253,01011001101
133,01100111
254,11000111000
134,01100011
255,0111001111
135,01111100
136,01010000
137,01011011
138,01001100
139,00100110
30,110001010
31,001100100
32,010011011
33,110100101
34,011110011
35,010001101
36,011011111
37,010110010
38,011100100
39,1111100010
140,00101010
141,01010001
142,00001011
143,111110010
144,00011011
145,111011101
146,111100111
147,111001110
148,110001111
149,110111011
40,011001001
41,010111011
42,001111000
43,001111101
44,000010101
45,001101100
46,010111010
47,000011100
48,1110100010
49,010010100
150,011100110
151,110110111
152,010110100
153,001010110
154,110000110
155,010111000
156,1110000001
157,010110101
158,010000110
159,010010101
50,001100110
51,010001110
52,001100000
53,1110111111
54,001100001
55,001011010
56,010000101
57,1111001101
58,1101101101
59,1111000100
160,001110011
161,001111100
162,011001010
163,001111010
164,0111001010
165,1111100000
166,1101110010
167,1110000010
168,000010100
169,1101001101
60,001011000
61,1111110010
62,1111100001
63,001111011
64,001000110
65,1111111101
66,000101011
67,1111111110
68,011010110
69,001000111
170,1111110000
171,000011111
172,000110100
173,010001111
174,1111000101
175,1101011100
176,001100101
177,1110100000
178,0110101000
179,1111110011
70,011111010
71,011110000
72,011110001
73,011111011
74,111100011
75,00110001
76,00111111
77,01001011
78,01011000
79,11000110
180,1110100001
181,1111001100
182,1111011110
183,1110111000
184,000110101
185,001000100
186,1101001001
187,1110000011
188,1111110001
189,1100010111
80,11011111
81,0000001
82,11111101
83,0100010
84,0101111
85,0110100
86,0111111
87,1100000
88,1101000
89,1101100
190,1110111101
191,1111111100
192,1101101100
193,1101011111
194,1100011101
195,1101001100
196,1111100110
197,1100010110
198,0111001011
199,1101011101
90,1110001
91,1110010
92,1111101
93,1110101
94,1110110
95,1101010
96,1111010
97,1100101
98,1100111
99,0111010
200,0110111000
201,0110101001
202,0011001111
203,0110101011
204,0011110010
205,0010011110
206,0010001011
207,11010111100
208,1110100011
209,11111000111
210,0100110100
211,01000011110
212,11101111001
213,11100000001
214,11111001110
215,01000011111
216,11010010001
217,11111001111
218,01101010101
219,11010111101
220,01011001100
221,01101010100
100,0111101
101,0101001
222,11111000110
102,0110110
223,11001000100
224,11001000101
103,0111000
104,0101010
225,0011001110
226,0010011111
105,0100111
227,11010010000
106,0100100
107,0100000
228,11101111000
229,0011110011
108,0101011
109,0110000
199
253
